id,product_name,region,sales_amount,date,quantity,category,profit,customer_name,city,sub_category,discount,user_id
3,Laptop,Central,1573.97998046875,2025-05-11,2,Electronics,481.660003662109,Sneha Kapoor,Bangalore,Computing,8,4
4,Smartwatch,Central,1298.94995117188,2025-08-08,1,Office Supplies,370.070007324219,Rohit Mehta,Hyderabad,Gadgets,9,5
5,Tablet,East,131.710006713867,2024-10-08,5,Electronics,30.75,Neha Arora,Delhi,Gadgets,10,6
6,Monitor,North,462.019989013672,2024-09-12,3,Office Supplies,103.459999084473,Rahul Sharma,Mumbai,Computing,11,7
7,Camera,East,4540.4501953125,2025-03-15,4,Office Supplies,1306.83996582031,Priya Singh,Pune,Imaging,12,8
8,Mouse,East,4359.08984375,2025-10-08,4,Electronics,1513.90002441406,Amit Verma,Bangalore,Peripherals,13,9
9,Mobile,Central,3199.46997070313,2025-04-09,3,Office Supplies,795.049987792969,Sneha Kapoor,Hyderabad,Gadgets,14,10
11,Keyboard,East,2319.82006835938,2024-03-28,4,Electronics,503.570007324219,Neha Arora,Mumbai,Peripherals,16,12
14,Mobile,North,2367.169921875,2024-10-18,5,Office Supplies,264.670013427734,Amit Verma,Hyderabad,Gadgets,19,15
15,Tablet,North,458.660003662109,2024-04-30,5,Electronics,134.740005493164,Sneha Kapoor,Delhi,Gadgets,20,16
16,Mouse,South,1232.23999023438,2024-03-22,4,Electronics,274.529998779297,Rohit Mehta,Mumbai,Peripherals,21,17
17,Laptop,West,2247.81005859375,2026-02-11,1,Electronics,727.700012207031,Neha Arora,Pune,Computing,22,18
19,Tablet,West,4382.35986328125,2025-06-01,2,Electronics,1492.18005371094,Priya Singh,Hyderabad,Gadgets,24,20
20,Printer,North,1243.61999511719,2025-09-01,3,Office Supplies,326.619995117188,Amit Verma,Delhi,Office Devices,5,21
21,Keyboard,North,1390.75,2025-04-03,4,Electronics,346.529998779297,Sneha Kapoor,Mumbai,Peripherals,6,22
22,Mouse,West,508.440002441406,2025-12-31,1,Electronics,62.0499992370605,Rohit Mehta,Pune,Peripherals,7,23
23,Keyboard,North,1869.22998046875,2024-07-26,2,Electronics,641.679992675781,Neha Arora,Bangalore,Peripherals,8,24
26,Headphones,West,2842.34008789063,2024-10-06,5,Electronics,894.640014648438,Amit Verma,Mumbai,Accessories,11,27
27,Mobile,East,4299.490234375,2025-06-05,4,Office Supplies,1494.06005859375,Sneha Kapoor,Pune,Gadgets,12,28
28,Mobile,East,1049.43994140625,2024-11-13,5,Office Supplies,329.470001220703,Rohit Mehta,Bangalore,Gadgets,13,29
30,Mobile,North,889.510009765625,2025-11-06,2,Office Supplies,217.320007324219,Rahul Sharma,Delhi,Gadgets,15,31
31,Mobile,North,1709.21997070313,2025-11-14,5,Office Supplies,486.220001220703,Priya Singh,Mumbai,Gadgets,16,32
32,Mobile,North,3692.8701171875,2025-02-18,3,Office Supplies,804.789978027344,Amit Verma,Pune,Gadgets,17,33
35,Tablet,South,3312.8701171875,2026-01-23,1,Electronics,351.190002441406,Neha Arora,Delhi,Gadgets,20,36
36,Tablet,East,918.710021972656,2026-02-16,5,Electronics,207.729995727539,Rahul Sharma,Mumbai,Gadgets,21,37
38,Mobile,South,2327.56005859375,2024-11-03,3,Office Supplies,684.809997558594,Amit Verma,Bangalore,Gadgets,23,39
40,Monitor,West,1010.91998291016,2025-06-02,4,Office Supplies,310.600006103516,Rohit Mehta,Delhi,Computing,5,41
41,Monitor,West,677.030029296875,2025-10-11,4,Office Supplies,214.389999389648,Neha Arora,Mumbai,Computing,6,42
42,Keyboard,West,1696.31005859375,2024-09-06,3,Electronics,513.320007324219,Rahul Sharma,Pune,Peripherals,7,43
43,Monitor,South,1828.81994628906,2024-04-10,1,Office Supplies,190.169998168945,Priya Singh,Bangalore,Computing,8,44
44,Laptop,South,1573.21997070313,2025-11-21,4,Electronics,255.600006103516,Amit Verma,Hyderabad,Computing,9,45
45,Printer,North,212.330001831055,2024-06-02,1,Office Supplies,55.3499984741211,Sneha Kapoor,Delhi,Office Devices,10,46
49,Laptop,East,4413.740234375,2025-04-04,4,Electronics,1185.9599609375,Priya Singh,Hyderabad,Computing,14,50
51,Smartwatch,North,1196.40002441406,2025-09-02,2,Office Supplies,205.860000610352,Sneha Kapoor,Mumbai,Gadgets,16,52
52,Monitor,North,3973.32006835938,2024-04-06,4,Office Supplies,1000.66998291016,Rohit Mehta,Pune,Computing,17,53
53,Camera,West,3785.40991210938,2025-09-20,3,Office Supplies,623.47998046875,Neha Arora,Bangalore,Imaging,18,54
54,Keyboard,West,136.820007324219,2024-03-22,1,Electronics,27.7800006866455,Rahul Sharma,Hyderabad,Peripherals,19,55
55,Mobile,South,1712.89001464844,2025-07-05,2,Office Supplies,524.52001953125,Priya Singh,Delhi,Gadgets,20,56
56,Smartwatch,South,2025.21997070313,2026-01-18,4,Office Supplies,372.519989013672,Amit Verma,Mumbai,Gadgets,21,57
57,Printer,North,1806.43994140625,2025-10-31,3,Office Supplies,425.869995117188,Sneha Kapoor,Pune,Office Devices,22,58
58,Monitor,North,3818.43994140625,2024-12-18,4,Office Supplies,1219.76000976563,Rohit Mehta,Bangalore,Computing,23,59
59,Smartwatch,East,1444.31994628906,2025-06-10,3,Office Supplies,500.390014648438,Neha Arora,Hyderabad,Gadgets,24,60
60,Mobile,East,3449.7900390625,2025-10-08,5,Office Supplies,791.799987792969,Rahul Sharma,Delhi,Gadgets,5,61
62,Monitor,Central,4320.330078125,2024-09-12,1,Office Supplies,714.109985351563,Amit Verma,Pune,Computing,7,63
63,Smartwatch,Central,4502.81982421875,2024-03-15,4,Office Supplies,1317.35998535156,Sneha Kapoor,Bangalore,Gadgets,8,64
65,Camera,North,3375.169921875,2024-07-27,5,Office Supplies,738.849975585938,Neha Arora,Delhi,Imaging,10,66
66,Smartwatch,West,3876.75,2026-01-03,4,Office Supplies,890.0,Rahul Sharma,Mumbai,Gadgets,11,67
68,Headphones,Central,3335.7900390625,2024-08-02,2,Electronics,483.570007324219,Amit Verma,Bangalore,Accessories,13,69
69,Laptop,North,946.409973144531,2025-06-27,3,Electronics,159.460006713867,Sneha Kapoor,Hyderabad,Computing,14,70
71,Tablet,West,3213.8701171875,2026-02-11,3,Electronics,707.049987792969,Neha Arora,Mumbai,Gadgets,16,72
72,Printer,North,3969.48999023438,2025-05-29,4,Office Supplies,889.299987792969,Rahul Sharma,Pune,Office Devices,17,73
73,Monitor,West,734.830017089844,2025-02-27,5,Office Supplies,172.080001831055,Priya Singh,Bangalore,Computing,18,74
74,Printer,Central,708.580017089844,2024-10-07,3,Office Supplies,161.419998168945,Amit Verma,Hyderabad,Office Devices,19,75
75,Smartwatch,East,4387.18994140625,2025-05-26,3,Office Supplies,1178.36999511719,Sneha Kapoor,Delhi,Gadgets,20,76
76,Smartwatch,Central,1286.43005371094,2024-03-17,5,Office Supplies,306.619995117188,Rohit Mehta,Mumbai,Gadgets,21,77
78,Printer,North,3229.419921875,2025-10-01,1,Office Supplies,512.830017089844,Rahul Sharma,Bangalore,Office Devices,23,79
80,Camera,South,1384.93005371094,2024-06-16,1,Office Supplies,343.660003662109,Amit Verma,Delhi,Imaging,5,81
82,Laptop,North,1919.86999511719,2025-06-02,3,Electronics,464.75,Rohit Mehta,Pune,Computing,7,83
83,Monitor,South,1514.57995605469,2025-10-06,5,Office Supplies,258.779998779297,Neha Arora,Bangalore,Computing,8,84
85,Laptop,North,1766.46997070313,2026-02-19,1,Electronics,536.679992675781,Priya Singh,Delhi,Computing,10,86
86,Keyboard,North,2995.02001953125,2026-10-02,4,Electronics,376.420013427734,Amit Verma,Mumbai,Peripherals,11,87
87,Mouse,North,3794.15991210938,2025-07-12,4,Electronics,1295.0400390625,Sneha Kapoor,Pune,Peripherals,12,88
88,Camera,South,2936.69995117188,2024-03-11,2,Office Supplies,648.489990234375,Rohit Mehta,Bangalore,Imaging,13,89
